article,software,original_cite,cite_idx,cite_type,citation_id
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1283974,Mindboggle,"[63,85]",2,Direct,85
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1388242,WPS,[63],1,Website,63
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2134966,DS ViewerPro,[42],1,Direct,42
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2500018,ImageJ,[20],1,Website,20
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2953514,Mplus,[43],1,Manual,43
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3120364,CrystalClear,"Rigaku, 2005",1,Direct,Rigaku_2005
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3237560,SAS,[70],1,Manual,70
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3283723,Arlequin,[72],1,Direct,72
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3293852,Praat,[39],1,Direct,39
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3314648,OpenEpi,[25],1,Direct,25
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3338667,PCORD,[19],1,Direct,19
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3338667,Geneious,[26],1,Direct,26
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3338667,EstimateS,[14],1,Direct,14
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406004,ADAPT,[44],1,Manual,44
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3445547,web service,[44],1,Website,44
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3485250,PAUP,[41],1,Direct,41
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3485250,TRACER,[54],1,Direct,54
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3485250,FSTAT,[55],1,Direct,55
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3507871,STATA,[44],1,Direct,44
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3536769,MATLAB,[23],1,Direct,23
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3541387,SPSS Statistics,[37],1,Direct,37
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3561195,SAS,[45],1,Direct,45
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3561353,lme4,[72],1,Direct,72
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3566204,Tracer,[59],1,Direct,59
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3566204,Fstat,[63],1,Direct,63
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3566204,PAUP*,[45],1,Direct,45
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3566204,Fig Tree,[60],1,Direct,60
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3591425,STATA,[28],1,Direct,28
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3660607,SAS,[30],1,Direct,30
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3660607,SUDAAN,[31],1,Direct,31
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3661540,SPSS,[42],1,Direct,42
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3699512,R,[31],1,Manual,31
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3762848,Stata,[52],1,Direct,52
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3790745,MAXQDA,[37],1,Direct,37
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3798718,R,[50],1,Direct,50
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3885438,R,[20],1,Website,20
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3885597,geo-spatial modeling environment,[41],1,Direct,41
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3903501,R,[44],1,Manual,44
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3906048,get_totals,[77],1,Direct,77
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3914947,R,[42],1,Direct,42
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3921218,STATA,[18],1,Direct,18
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3944928,EstimateS,[11],1,Direct,11
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3944928,R,[10],1,Manual,10
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3968891,R,[9],1,Manual,9
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3977835,Hawth's analysis tools for ArcGis,[46],1,Direct,46
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4079667,lmer,[60],1,Direct,60
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4091876,R,[34],1,Manual,34
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4103818,Praat,[44],1,Direct,44
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4117474,Stata,[44],1,Direct,44
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4146461,R,[43],1,Manual,43
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4161331,runmlwin,[30],1,Direct,30
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4168004,Stata,[16],1,Direct,16
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4169449,Patch Analyst,[39],1,Direct,39
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4190082,Software Package for Statistical Analysis,[24],1,Direct,24
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4205118,MLwiN,[35],1,Direct,35
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4319918,Habit 2000,[35],1,Direct,35
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4319918,VPixx,[34],1,Direct,34
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4332634,R,[48],1,Manual,48
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4335048,SAS,[21],1,Manual,21
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4366215,R,[44],1,Manual,44
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4390308,Twitter,[44],1,Manual,44
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4423990,SPSS,[33],1,Direct,33
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4440738,Stan,[78],1,Direct,78
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4440738,map2stan,[79],1,Direct,79
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4451079,Stata,[52],1,Direct,52
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4511801,SPSS,[40],1,Direct,40
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4552758,LiDAR Analyst,[50],1,Direct,50
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4552758,ArcGIS,[51],1,Direct,51
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4580643,SAS,[34],1,Direct,34
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4591118,STATA,[27],1,Direct,27
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4643858,Atlas.ti,Muhr 2004,1,Manual,Muhr_2004
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4657964,EpiTools,[43],1,Direct,43
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4657964,R,[42],1,Manual,42
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4659587,VDJtools,[40],1,Website,40
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4699692,Microscopy Image Browser,[9],1,Manual,9
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4701397,Stata,[41],1,Direct,41
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4726623,Praat,"[61, 66]",2,Direct,66
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4726623,articulatory synthesizer,"[61, 66]",2,Direct,66
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4728114,Stata,[30],1,Direct,30
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4784788,FastQC,"[8,16]",2,Direct,16
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4805189,SAS,[43],1,Manual,43
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4833478,Stan,[50],1,Direct,50
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4889034,Stata,[48],1,Direct,48
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4889034,Mplus,[46],1,Manual,46
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4900599,STATA,[28],1,Direct,28
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4900631,R,[103],1,Manual,103
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4900631,R,[114],1,Direct,114
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4934862,survival,[27],1,Direct,27
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4934862,R,[28],1,Manual,28
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4988699,C2,[64],1,Direct,64
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4988699,CALIB,[47],1,Direct,47
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4988699,Calib,[47],1,Direct,47
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4988699,rioja,"[62, 63]",1,Direct,62
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4988699,R,"[62, 63]",2,Direct,63
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5001719,Stata,[41],1,Direct,41
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5003378,R,[34],1,Manual,34
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5061368,nlme,[58],1,Direct,58
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5061368,R,[57],1,Manual,57
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5068799,Mplus,[28],1,Manual,28
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5070780,FastQC,[89],1,Direct,89
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5070780,TargetScan,[102],1,Website,102
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5070780,vegan,[97],1,Website,97
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5070780,gplots,[98],1,Website,98
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5102347,Stata,[41],1,Direct,41
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5161364,R,[20],1,Manual,20
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5312924,CompuSyn,"[26,27]",2,Direct,27
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5336195,Stata,[13],1,Direct,13
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5386258,H2O R interface,[35],1,Direct,35
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5386258,R,[34],1,Manual,34
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5398504,Vegan,[25],1,Direct,25
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5423609,SPSS,[34],1,Direct,34
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5444625,ZSCORE06,[51],1,Direct,51
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5540584,Psychophysics Toolbox,"[22, 23]",2,Other,23
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5568325,SurveyMonkey,[49],1,Direct,49
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587279,SPSS Statistics,[35],1,Direct,35
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5633175,QGIS,[44],1,Direct,44
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5734747,Librosa,[76],1,Direct,76
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5744934,STATA,[28],1,Direct,28
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5747435,Stata,[21],1,Direct,21
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5875891,SPSS Statistics,[94],1,Direct,94
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5905982,fmsb,[31],1,Direct,31
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5905982,R,[30],1,Direct,30
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5912749,Python,[73],1,Other,73
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5979022,STATA,[16],1,Direct,16
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6042701,Stata,[90],1,Direct,90
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6042753,SPSS Statistics,[39],1,Direct,39
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6042753,R,[40],1,Manual,40
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6114278,Stata,[50],1,Direct,50
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6219793,MATLAB,[38],1,Direct,38
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6235347,dplyr,[22],1,Direct,22
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6235347,psych,[23],1,Direct,23
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6235347,tidyr,[24],1,Direct,24
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6235347,R,[21],1,Direct,21
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6258523,Psychtoolbox,[56],1,Other,56
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6345421,Quanto,[73],1,Direct,73
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6345421,rms,[71],1,Direct,71
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6345421,R,[72],1,Manual,72
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3431302,Crimap,[54],1,Direct,54
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4056374,DriverNet,[31],1,Website,31
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4383374,SAS,[52],1,Manual,52
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5249117,Psychophysics toolbox,[49–51],3,Other,51
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5289417,R,[17],1,Manual,17
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381785,Stella,[16],1,Direct,16
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5386258,h2oEnsemble,[36],1,Direct,36
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5398494,EQ-5D calculator,[40],1,Direct,40
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5425029,nlme,[51],1,Direct,51
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5425029,R,[50],1,Manual,50
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5436697,Epi,[27],1,Direct,27
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5444625,Epidata,[49],1,Direct,49
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5479529,Tensor Toolbox,[18],1,Direct,18
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5574543,PRAAT,[50],1,Direct,50
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5590823,SPSS,[34],1,Direct,34
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5597179,Mplus,[51],1,Manual,51
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5614435,STATA,[46],1,Manual,46
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5633173,MATLAB,[34–35],1,Direct,34
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5633175,R,[43],1,Direct,43
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5646767,MAXQDA,[88],1,Direct,88
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659643,Stata,[30],1,Direct,30
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5747435,Excel,[20],1,Direct,20
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5912749,GNU R,[74],1,Manual,74
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5967750,SPSS Statistics,[64],1,Direct,64
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6034840,SAS,[17],1,Manual,17
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6042701,Inquisit,[65],1,Direct,65
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6049919,SPSS,[61],1,Direct,61
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6086460,Stata,[16],1,Direct,16
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6105007,Rhtslib,[18],1,Direct,18
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6105007,R,[13],1,Manual,13
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110470,sickle,[25],1,Direct,25
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6122792,R,[32],1,Website,32
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6169876,R,[37],1,Manual,37
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6211744,SPSS,[48],1,Direct,48
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6269088,irr,[42],1,Direct,42
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6312331,R,[112],1,Direct,112
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6353544,R,[54],1,Manual,54
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6719071,DESeq,[13],1,Manual,13
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6017189,SAINT,[62],1,Direct,62
